model,file_id,noise_type,level,latency_s,accuracy_pct,hypothesis,reference
tiny,01,none,clean,0.8,58.7,"Xin chào, tôi làm mính, đại giản cho công ty tích Việt Sulu Xen, chúng tôi chuyên công cấp lại pháp phần mềm trong ngành Lơ Stakes. Công ty được thành lập 5.2.000 không chăm mười tắng. Huyện có hơn 1.2.000 viên, ra em thu 5 ngoại của chúng tôi đặt khoảng 5.000 đồng. Chúng tôi đang tìm kiếm đối tác chiến lực ở khu vực đông năm á. Dết mong được hợp tác lâu dài với quy công ty.","Xin chào, tôi là Minh, đại diện cho công ty TechViet Solutions. Chúng tôi chuyên cung cấp giải pháp phần mềm cho ngành logistics. Công ty được thành lập năm 2018, hiện có hơn 120 nhân viên. Doanh thu năm ngoái của chúng tôi đạt khoảng 50 tỷ đồng. Chúng tôi đang tìm kiếm đối tác chiến lược ở khu vực Đông Nam Á. Rất mong được hợp tác lâu dài với quý công ty."
tiny,02,none,clean,0.554,94.0,"Good morning, my name is A.A. Sarah, I represent Aurora Tech Singapore. We provide eye-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across six countries in the region. Last quarter, our platform process, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today.","Good morning, my name is... ah, Sarah, I represent Aurora Tech Singapore. We provide AI-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across 6 countries in the region. Last quarter, our platform processed, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today."
tiny,03,none,clean,0.563,62.8,"Chúng tôi đã review bảo giá của quy công ty, mức giá hơi tào sau với bắt sĩ t ban đầu, ngần sách của chúng tôi cho pro-sec này là khoảng 2,000 niên đô là Mỹ. Nếu kí hợp đồng 2 năm, quy vị có thể óp phở giảm giá người phần chăm được không. Chúng tôi cũng cần thời gian bảo hành tôi thiệu mười tấm thắng. Vậy chúng ta có thể chốt lại các ác sân ai tầm vào cuộc họp bình sau không.","Chúng tôi đã review báo giá của quý công ty, mức giá hơi cao so với budget ban đầu. Ngân sách của chúng tôi cho project này là khoảng 200 nghìn đô la Mỹ. Nếu ký hợp đồng 2 năm, quý vị có thể offer giảm giá 10% được không? Chúng tôi cũng cần thời gian bảo hành tối thiểu 18 tháng. Vậy chúng ta có thể chốt lại các action items vào cuộc họp tuần sau không?"
tiny,04,none,clean,0.38,96.6,"We would like to discuss the pricing for the next quarter. Our current offer is, let me check, 15% lower than the market average. However, we can only guarantee this rate for orders above. Sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9am? I'll send the revised proposal by email this afternoon.","We would like to discuss the pricing for the next quarter. Our current offer is... let me check... 15% lower than the market average. However, we can only guarantee this rate for orders above... sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 AM? I'll send the revised proposal by email this afternoon."
tiny,05,none,clean,0.598,53.3,"Bây mình tâm trong hợp đồng đang gây là bác nguy phần chăm trước. Bây nguy phần chăm sau khi nghiệm thú, chúng tôi muốn điều trình thành 3 được thành tỏng thay vì hay được. Về điều hoàn phạt vi phạm, mức phạt hiện tại là không phải nằm phần chăm mỗi ngày trễ hạn. Thời hạn hợp đồng là mười hay thắng, có thể ra hạn thêm sau thắng. Tìm lý gồ của chúng tôi sẽ xem lại bản dự thảo trước khi kỳ chính thức.","Payment terms trong hợp đồng đang ghi là 30% trước, 70% sau khi nghiệm thu. Chúng tôi muốn điều chỉnh thành 3 đợt thanh toán thay vì 2 đợt. Về điều khoản phạt vi phạm, mức phạt hiện tại là 0.5% mỗi ngày trễ hạn. Thời hạn hợp đồng là 12 tháng, có thể gia hạn thêm 6 tháng. Team legal của chúng tôi sẽ xem lại bản dự thảo trước khi ký chính thức."
tiny,06,none,clean,0.358,94.6,Let's go over the confident reality clause in Section 4 of the contract. This clause remains valid for five years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.,Let's go over the confidentiality clause in section 4 of the contract. This clause remains valid for 5 years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.
tiny,07,none,clean,0.533,58.0,"Hệ thống của chúng tôi hiện tại Sepoth Tích Hợp qua API REST và WACU. Thời gian phản hồi chung bình là giới 2.000 li z Dữ liệu được mạo hóa theo chuẩn, AES 2.5 xấu khi liều chữ và chuyển tay. Hệ thống có khả năng Scale để handle tới 1 ngìn việc quên sối z Chúng tôi cùng cấp tại liệu API đây đủ và hỗ trợ kiện thoại 2.000 vấn bày.",Hệ thống của chúng tôi hiện tại support tích hợp qua API REST và webhook. Thời gian phản hồi trung bình là dưới 200 mili giây. Dữ liệu được mã hóa theo chuẩn AES-256 khi lưu trữ và truyền tải. Hệ thống có khả năng scale để handle tới 10 nghìn request mỗi giây. Chúng tôi cung cấp tài liệu API đầy đủ và hỗ trợ kỹ thuật 24/7.
tiny,08,none,clean,0.379,100.0,"How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with? Um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?","How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with, um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?"
tiny,09,none,clean,0.538,66.7,"Đơn hàng lần này gồm năm 2018, cần rau trước ngày 15 tháng tắm, thời gian sản sất tiêu chuẩn của chúng tôi là bát tồn. Nếu đặt hàng gấp, a không, nếu là đơn ở dần, chúng tôi có thể giúp nắn xuống còn mười ngày với phục viến năm 2018. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm hai tồn, chúng tôi sẽ gửi mở chắc kinh đơn hàng ngày sau khi sất khó.","Đơn hàng lần này gồm 500 sản phẩm, cần giao trước ngày 15 tháng 8. Thời gian sản xuất tiêu chuẩn của chúng tôi là 3 tuần. Nếu đặt hàng gấp... à không, nếu là đơn urgent, chúng tôi có thể rút ngắn xuống còn 10 ngày với phụ phí 5%. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm 2 tuần. Chúng tôi sẽ gửi mã tracking đơn hàng ngay sau khi xuất kho."
tiny,10,none,clean,0.39,100.0,"We need the shipment to arrive by September 1st. Actually, no. Make it September 5th at the latest that timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable, given the urgency of this order. We'll confirm the final delivery date within 24 hours.","We need the shipment to arrive by September 1st... actually, no, make it September 5th at the latest. That timeline is tight, but we can arrange air freight instead of sea freight. Air freight would increase the cost by approximately 20%. That's acceptable, given the urgency of this order. We'll confirm the final delivery date within 24 hours."
tiny,01,cafe,level_heavy,0.712,53.3,"Xin chào, tôi làm m�, đại giện cho công ty, cách Việt xôi lúc sần, chúng tôi chuyển công cấp dải pháp phần m�'n trong này ngươi sĩ spit. Công ty được thành lập năm 2019, khiển có hơn 1,2 muyên nhân viên, dành khu năm ngoái của chúng tôi đặt khoảng năm 2019. Chúng tôi đang tiền tiếm đối tác trên lược của tu vực đông năm á. Dất mong được hợp tác lâu dài với quy công ty.","Xin chào, tôi là Minh, đại diện cho công ty TechViet Solutions. Chúng tôi chuyên cung cấp giải pháp phần mềm cho ngành logistics. Công ty được thành lập năm 2018, hiện có hơn 120 nhân viên. Doanh thu năm ngoái của chúng tôi đạt khoảng 50 tỷ đồng. Chúng tôi đang tìm kiếm đối tác chiến lược ở khu vực Đông Nam Á. Rất mong được hợp tác lâu dài với quý công ty."
tiny,02,cafe,level_heavy,0.593,92.5,"Good morning, my name is Auff Sara. I represent Aurora Tech Singapore. We provide eye-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across six countries in the region. Last quarter, our platform processed. You know, more than two million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today.","Good morning, my name is... ah, Sarah, I represent Aurora Tech Singapore. We provide AI-powered supply chain platforms for enterprise clients. We currently serve over 40 clients across 6 countries in the region. Last quarter, our platform processed, you know, more than 2 million transactions. We're excited about the possibility of expanding into the Vietnamese market. Thank you for taking the time to meet with us today."
tiny,03,cafe,level_heavy,0.555,56.4,"Chúng tôi đã re-tiu bảo giá cuộc vi công ty, nước giá người tao sau với bắt sĩ bành động. Nên sách của chúng tôi cho pro sách này là khoảng 2,000 đô là Mỹ. Nếu kỹ hợp đồng 2 năm, vi vị có thể óp phơi giảm giá người con chăm được không. Chúng tôi cũng cần thời gian bảo hành tối thiệu người tang thắng. Vậy chúng ta có thể chốt lại các át sân ai tâm vào cuộc họp bình sau không?","Chúng tôi đã review báo giá của quý công ty, mức giá hơi cao so với budget ban đầu. Ngân sách của chúng tôi cho project này là khoảng 200 nghìn đô la Mỹ. Nếu ký hợp đồng 2 năm, quý vị có thể offer giảm giá 10% được không? Chúng tôi cũng cần thời gian bảo hành tối thiểu 18 tháng. Vậy chúng ta có thể chốt lại các action items vào cuộc họp tuần sau không?"
tiny,04,cafe,level_heavy,0.432,100.0,"We would like to discuss the pricing for the next quarter. Our current offer is, let me check, 15% lower than the market average. However, we can only guarantee this rate for orders above. Sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 a.m.? I'll send the revised proposal by email this afternoon.","We would like to discuss the pricing for the next quarter. Our current offer is... let me check... 15% lower than the market average. However, we can only guarantee this rate for orders above... sorry, above 500 units. Can we schedule a follow-up meeting next Monday at 9 AM? I'll send the revised proposal by email this afternoon."
tiny,05,cafe,level_heavy,0.634,33.3,"Pây mần tâm trong hợp đồng đang thiên là bám lý cình chăm chứ. Bày mý cình chăm sau khi niệm vô. Chúng tôi muốn điều trình thành ba được thấy tỏan thấy gì hai được. Bây điều quản phát đi phá, mức phát hiện tại là không phải năm cình chăm mũ này trễ hạnh. Thời hạc hợp đồng là mười hai tháng, có thể ra hạc thiên sau tháng. Tìm lý gồm của chúng tôi sẽ xem lại bàn dự thảo trước khi khi chính thức.","Payment terms trong hợp đồng đang ghi là 30% trước, 70% sau khi nghiệm thu. Chúng tôi muốn điều chỉnh thành 3 đợt thanh toán thay vì 2 đợt. Về điều khoản phạt vi phạm, mức phạt hiện tại là 0.5% mỗi ngày trễ hạn. Thời hạn hợp đồng là 12 tháng, có thể gia hạn thêm 6 tháng. Team legal của chúng tôi sẽ xem lại bản dự thảo trước khi ký chính thức."
tiny,06,cafe,level_heavy,0.428,96.4,Let's go over the confidentiality clause in Section 4 of the Contrast. This clause remains valid for five years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.,Let's go over the confidentiality clause in section 4 of the contract. This clause remains valid for 5 years after the contract ends. We propose adding an arbitration clause in case of any disputes. Both parties must give written notice at least 60 days before termination. I believe this covers all the key terms for now.
tiny,07,cafe,level_heavy,0.616,37.7,Hệ thống của chúng tôi hiện tại sợp có thích hợp qua API WEST và WEST. Hơi Giang phản hồi chung bên là giới hai chăm mỡy lý dậy. Với dụng được mạo ngó theo chọn API X2.6 xấu khi liều chữ và truyền tại. Hệ thống có khả năng scale để handle tới mười mình WEST mũ dây. Chúng tôi cùng cấp tại nếu API đủ và hủ chờ thì thuật hai mùi bốn phần bay.,Hệ thống của chúng tôi hiện tại support tích hợp qua API REST và webhook. Thời gian phản hồi trung bình là dưới 200 mili giây. Dữ liệu được mã hóa theo chuẩn AES-256 khi lưu trữ và truyền tải. Hệ thống có khả năng scale để handle tới 10 nghìn request mỗi giây. Chúng tôi cung cấp tài liệu API đầy đủ và hỗ trợ kỹ thuật 24/7.
tiny,08,cafe,level_heavy,0.427,98.1,"How does your platform handle data backup in disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with? Um, on-premise deployment for sensitive data? Yes. We offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?","How does your platform handle data backup and disaster recovery? We perform automatic backups every 6 hours with a 99.9% uptime guarantee. Is the system compatible with, um, on-premise deployment for sensitive data? Yes, we offer both cloud and on-premise deployment options. What is the estimated onboarding time for a new client?"
tiny,09,cafe,level_heavy,0.739,59.0,"Đơn hàng lần này gồm năm 2014, cần rau trước này 1 năm hàng tóm, thời gian sản sất tiêu chuẩn của chúng tôi là bát gồn. Nếu đặt hàng gấp, á không, nếu là đơn e zân, chúng tôi có thể giúp nắn xuống còn người này với phụ thí năm 2014. Hàng sẽ được vật chuyển bằng đường biển, dự thiến mất thêm hai tòn, chúng tôi sẽ gửi mở chắc tình đơn hàng này sau khi sất bó.","Đơn hàng lần này gồm 500 sản phẩm, cần giao trước ngày 15 tháng 8. Thời gian sản xuất tiêu chuẩn của chúng tôi là 3 tuần. Nếu đặt hàng gấp... à không, nếu là đơn urgent, chúng tôi có thể rút ngắn xuống còn 10 ngày với phụ phí 5%. Hàng sẽ được vận chuyển bằng đường biển, dự kiến mất thêm 2 tuần. Chúng tôi sẽ gửi mã tracking đơn hàng ngay sau khi xuất kho."
